CLINICALLY_RELEVANT,Variable_Name,DX_CODE,DX_DESC,matched_terms_llm_context_loop_icd10
Y,A1C,E1122,TYPE 2 DIABETES MELLITUS WITH DIABETIC CHRONIC KIDNEY DISEASE,DIABETES; TYPE.*2.*DIABETES
Y,A1C,E8881,Metabolic syndrome and other insulin resistance,INSULIN.*RESISTANCE
N,ALB,A4101,SEPSIS DUE TO METHICILLIN SUSCEPTIBLE STAPHYLOCOCCUS AUREUS,SEPSIS
N,ALB,A419,"SEPSIS, UNSPECIFIED ORGANISM",SEPSIS
Y,ALB,D472,MONOCLONAL GAMMOPATHY,MONOCLONAL.*GAMMOPATHY
Y,ALB,E441,MILD PROTEIN-CALORIE MALNUTRITION,MALNUTRITION
Y,ALB,E46,UNSPECIFIED PROTEIN-CALORIE MALNUTRITION,MALNUTRITION
N,ALB,E790,HYPERURICEMIA WITHOUT SIGNS OF INFLAMMATORY ARTHRITIS AND TOPHACEOUS DISEASE,INFLAMMATORY.*DISEASE
Y,ALB,E861,HYPOVOLEMIA,HYPOVOLEMIA
Y,ALB,E869,"VOLUME DEPLETION, UNSPECIFIED",VOLUME.*DEPLETION
N,ALB,K759,"INFLAMMATORY LIVER DISEASE, UNSPECIFIED",LIVER.*DISEASE; INFLAMMATORY.*DISEASE
Y,ALB,K769,"LIVER DISEASE, UNSPECIFIED",LIVER.*DISEASE
Y,ALB,M05741,RHEUMATOID ARTHRITIS WITH RHEUMATOID FACTOR OF RIGHT HAND WITHOUT ORGAN OR SYSTEMS INVOLVEMENT,RHEUMATOID.*ARTHRITIS
Y,ALB,M05742,RHEUMATOID ARTHRITIS WITH RHEUMATOID FACTOR OF LEFT HAND WITHOUT ORGAN OR SYSTEMS INVOLVEMENT,RHEUMATOID.*ARTHRITIS
Y,ALB,M0579,RHEUMATOID ARTHRITIS WITH RHEUMATOID FACTOR OF MULTIPLE SITES WITHOUT ORGAN OR SYSTEMS INVOLVEMENT,RHEUMATOID.*ARTHRITIS
Y,ALB,M059,"RHEUMATOID ARTHRITIS WITH RHEUMATOID FACTOR, UNSPECIFIED",RHEUMATOID.*ARTHRITIS
Y,ALB,M0600,"RHEUMATOID ARTHRITIS WITHOUT RHEUMATOID FACTOR, UNSPECIFIED SITE",RHEUMATOID.*ARTHRITIS
Y,ALB,M069,"RHEUMATOID ARTHRITIS, UNSPECIFIED",RHEUMATOID.*ARTHRITIS
Y,ALB,M320,DRUG-INDUCED SYSTEMIC LUPUS ERYTHEMATOSUS,SYSTEMIC.*LUPUS.*ERYTHEMATOSUS
Y,ALB,M3210,"SYSTEMIC LUPUS ERYTHEMATOSUS, ORGAN OR SYSTEM INVOLVEMENT UNSPECIFIED",SYSTEMIC.*LUPUS.*ERYTHEMATOSUS
N,ALB,M3212,PERICARDITIS IN SYSTEMIC LUPUS ERYTHEMATOSUS,SYSTEMIC.*LUPUS.*ERYTHEMATOSUS
N,ALB,M3213,LUNG INVOLVEMENT IN SYSTEMIC LUPUS ERYTHEMATOSUS,SYSTEMIC.*LUPUS.*ERYTHEMATOSUS
