CLINICALLY_RELEVANT,VARIABLE_NAME,ICD_DX_CODE,ICD10_DX_DESC,MATCHED_TERMS,
TRUE,A1C,E0800,DIABETES MELLITUS DUE TO UNDERLYING CONDITION WITH COMPLICATIONS,DIABETES; DIABETES.*MELLITUS,
TRUE,A1C,E0801,,DIABETES; DIABETES.*MELLITUS,
TRUE,A1C,E0810,,DIABETES; DIABETES.*MELLITUS,
TRUE,A1C,E0821,,DIABETES; DIABETES.*MELLITUS; DIABETES.*WITH.*NEPHROPATHY,
TRUE,A1C,E0840,,DIABETES; DIABETES.*MELLITUS; DIABETES.*UNSPECIFIED; DIABETES.*WITH.*NEUROPATHY,
TRUE,A1C,E0842,,DIABETES; DIABETES.*MELLITUS; DIABETES.*WITH.*NEUROPATHY,
TRUE,A1C,E08621,,DIABETES; DIABETES.*MELLITUS,
TRUE,A1C,E08622,,DIABETES; DIABETES.*MELLITUS,
TRUE,A1C,E0865,,DIABETES; HYPERGLYCEMIA; DIABETES.*MELLITUS,
TRUE,A1C,E0869,,DIABETES; DIABETES.*MELLITUS,
TRUE,A1C,E088,,DIABETES; DIABETES.*MELLITUS; DIABETES.*UNSPECIFIED; DIABETES.*WITH.*COMPLICATIONS,
TRUE,A1C,E089,DIABETES MELLITUS DUE TO UNDERLYING CONDITION WITHOUT COMPLICATIONS,DIABETES; DIABETES.*MELLITUS; DIABETES.*WITH.*COMPLICATIONS; DIABETES.*WITHOUT.*COMPLICATIONS,
TRUE,A1C,E099,DRUG OR CHEMICAL INDUCED DIABETES MELLITUS WITHOUT COMPLICATIONS,DIABETES; DIABETES.*MELLITUS; DIABETES.*WITH.*COMPLICATIONS; DIABETES.*WITHOUT.*COMPLICATIONS,
TRUE,A1C,E1010,TYPE 1 DIABETES MELLITUS WITH COMPLICATION,DIABETES; TYPE.*1.*DIABETES; DIABETES.*MELLITUS; TYPE.*1.*DIABETES.*MELLITUS,
TRUE,A1C,E1029,,DIABETES; TYPE.*1.*DIABETES; DIABETES.*MELLITUS; TYPE.*1.*DIABETIC; TYPE.*1.*DIABETES.*MELLITUS,
TRUE,A1C,E103293,,DIABETES; TYPE.*1.*DIABETES; DIABETES.*MELLITUS; TYPE.*1.*DIABETIC; TYPE.*1.*DIABETES.*MELLITUS; DIABETES.*WITH.*RETINOPATHY,
TRUE,A1C,E103299,,DIABETES; TYPE.*1.*DIABETES; DIABETES.*MELLITUS; TYPE.*1.*DIABETIC; TYPE.*1.*DIABETES.*MELLITUS; DIABETES.*UNSPECIFIED; TYPE.*1.*DIABETES.*UNSPECIFIED; DIABETES.*WITH.*RETINOPATHY,
TRUE,A1C,E103312,,DIABETES; TYPE.*1.*DIABETES; DIABETES.*MELLITUS; TYPE.*1.*DIABETIC; TYPE.*1.*DIABETES.*MELLITUS; DIABETES.*WITH.*RETINOPATHY,
TRUE,A1C,E103391,,DIABETES; TYPE.*1.*DIABETES; DIABETES.*MELLITUS; TYPE.*1.*DIABETIC; TYPE.*1.*DIABETES.*MELLITUS; DIABETES.*WITH.*RETINOPATHY,
TRUE,A1C,E103493,,DIABETES; TYPE.*1.*DIABETES; DIABETES.*MELLITUS; TYPE.*1.*DIABETIC; TYPE.*1.*DIABETES.*MELLITUS; DIABETES.*WITH.*RETINOPATHY,
TRUE,A1C,E103511,,DIABETES; TYPE.*1.*DIABETES; DIABETES.*MELLITUS; TYPE.*1.*DIABETIC; TYPE.*1.*DIABETES.*MELLITUS; DIABETES.*WITH.*RETINOPATHY,
TRUE,A1C,E103591,,DIABETES; TYPE.*1.*DIABETES; DIABETES.*MELLITUS; TYPE.*1.*DIABETIC; TYPE.*1.*DIABETES.*MELLITUS; DIABETES.*WITH.*RETINOPATHY,
TRUE,A1C,E103592,,DIABETES; TYPE.*1.*DIABETES; DIABETES.*MELLITUS; TYPE.*1.*DIABETIC; TYPE.*1.*DIABETES.*MELLITUS; DIABETES.*WITH.*RETINOPATHY,
TRUE,A1C,E103593,,DIABETES; TYPE.*1.*DIABETES; DIABETES.*MELLITUS; TYPE.*1.*DIABETIC; TYPE.*1.*DIABETES.*MELLITUS; DIABETES.*WITH.*RETINOPATHY,
TRUE,A1C,E103599,,DIABETES; TYPE.*1.*DIABETES; DIABETES.*MELLITUS; TYPE.*1.*DIABETIC; TYPE.*1.*DIABETES.*MELLITUS; DIABETES.*UNSPECIFIED; TYPE.*1.*DIABETES.*UNSPECIFIED; DIABETES.*WITH.*RETINOPATHY,
TRUE,A1C,E1042,,DIABETES; TYPE.*1.*DIABETES; DIABETES.*MELLITUS; TYPE.*1.*DIABETIC; TYPE.*1.*DIABETES.*MELLITUS; DIABETES.*WITH.*NEUROPATHY,
TRUE,A1C,E1049,,DIABETES; TYPE.*1.*DIABETES; DIABETES.*MELLITUS; TYPE.*1.*DIABETIC; TYPE.*1.*DIABETES.*MELLITUS,
TRUE,A1C,E10610,,DIABETES; TYPE.*1.*DIABETES; DIABETES.*MELLITUS; TYPE.*1.*DIABETIC; TYPE.*1.*DIABETES.*MELLITUS,
TRUE,A1C,E10621,,DIABETES; TYPE.*1.*DIABETES; DIABETES.*MELLITUS; TYPE.*1.*DIABETES.*MELLITUS,
TRUE,A1C,E10628,,DIABETES; TYPE.*1.*DIABETES; DIABETES.*MELLITUS; TYPE.*1.*DIABETES.*MELLITUS; TYPE.*1.*DIABETES.*WITH.*COMPLICATIONS; DIABETES.*WITH.*COMPLICATIONS; TYPE.*1.*DIABETES.*WITH.*COMPLICATIONS,
TRUE,A1C,E10649,,DIABETES; TYPE.*1.*DIABETES; DIABETES.*MELLITUS; TYPE.*1.*DIABETES.*MELLITUS,
TRUE,A1C,E1065,,DIABETES; HYPERGLYCEMIA; TYPE.*1.*DIABETES; DIABETES.*MELLITUS; TYPE.*1.*DIABETES.*MELLITUS,
