"Variable_Name","DX_CODE","DX_DESC","matched_terms_llm_nocontext"
"A1C","E0800","DIABETES MELLITUS DUE TO UNDERLYING CONDITION WITH HYPEROSMOLARITY WITHOUT NONKETOTIC HYPERGLYCEMIC-HYPEROSMOLAR COMA (NKHHC)","DIABETES.*MELLITUS"
"A1C","E0801","DIABETES MELLITUS DUE TO UNDERLYING CONDITION WITH HYPEROSMOLARITY WITH COMA","DIABETES.*MELLITUS"
"A1C","E0810","DIABETES MELLITUS DUE TO UNDERLYING CONDITION WITH KETOACIDOSIS WITHOUT COMA","DIABETES.*MELLITUS"
"A1C","E0811","DIABETES MELLITUS DUE TO UNDERLYING CONDITION WITH KETOACIDOSIS WITH COMA","DIABETES.*MELLITUS"
"A1C","E0821","DIABETES MELLITUS DUE TO UNDERLYING CONDITION WITH DIABETIC NEPHROPATHY","DIABETES.*MELLITUS"
"A1C","E0822","DIABETES MELLITUS DUE TO UNDERLYING CONDITION WITH DIABETIC CHRONIC KIDNEY DISEASE","DIABETES.*MELLITUS"
"A1C","E0829","DIABETES MELLITUS DUE TO UNDERLYING CONDITION WITH OTHER DIABETIC KIDNEY COMPLICATION","DIABETES.*MELLITUS"
"A1C","E08311","DIABETES MELLITUS DUE TO UNDERLYING CONDITION WITH UNSPECIFIED DIABETIC RETINOPATHY WITH MACULAR EDEMA","DIABETES.*MELLITUS"
"A1C","E08319","DIABETES MELLITUS DUE TO UNDERLYING CONDITION WITH UNSPECIFIED DIABETIC RETINOPATHY WITHOUT MACULAR EDEMA","DIABETES.*MELLITUS"
"A1C","E083211","DIABETES MELLITUS DUE TO UNDERLYING CONDITION WITH MILD NONPROLIFERATIVE DIABETIC RETINOPATHY WITH MACULAR EDEMA, RIGHT EYE","DIABETES.*MELLITUS"
"A1C","E083212","DIABETES MELLITUS DUE TO UNDERLYING CONDITION WITH MILD NONPROLIFERATIVE DIABETIC RETINOPATHY WITH MACULAR EDEMA, LEFT EYE","DIABETES.*MELLITUS"
