"Variable_Name","DX_CODE","DX_DESC","matched_terms_llm_nocontext"
"A1C","E0800","DIABETES MELLITUS DUE TO UNDERLYING CONDITION WITH HYPEROSMOLARITY WITHOUT NONKETOTIC HYPERGLYCEMIC-HYPEROSMOLAR COMA (NKHHC)","DIABETES.*MELLITUS; DIABETES"
"A1C","E0801","DIABETES MELLITUS DUE TO UNDERLYING CONDITION WITH HYPEROSMOLARITY WITH COMA","DIABETES.*MELLITUS; DIABETES"
"A1C","E0810","DIABETES MELLITUS DUE TO UNDERLYING CONDITION WITH KETOACIDOSIS WITHOUT COMA","DIABETES.*MELLITUS; DIABETES"
"A1C","E0811","DIABETES MELLITUS DUE TO UNDERLYING CONDITION WITH KETOACIDOSIS WITH COMA","DIABETES.*MELLITUS; DIABETES"
"A1C","E0821","DIABETES MELLITUS DUE TO UNDERLYING CONDITION WITH DIABETIC NEPHROPATHY","DIABETES.*MELLITUS; DIABETES; DIABETIC.*NEPHROPATHY; DIABETIC"
"A1C","E0822","DIABETES MELLITUS DUE TO UNDERLYING CONDITION WITH DIABETIC CHRONIC KIDNEY DISEASE","DIABETES.*MELLITUS; DIABETES; DIABETIC"
"A1C","E0829","DIABETES MELLITUS DUE TO UNDERLYING CONDITION WITH OTHER DIABETIC KIDNEY COMPLICATION","DIABETES.*MELLITUS; DIABETES; DIABETIC"
"A1C","E08311","DIABETES MELLITUS DUE TO UNDERLYING CONDITION WITH UNSPECIFIED DIABETIC RETINOPATHY WITH MACULAR EDEMA","DIABETES.*MELLITUS; DIABETES; DIABETIC.*RETINOPATHY; DIABETIC"
"A1C","E08319","DIABETES MELLITUS DUE TO UNDERLYING CONDITION WITH UNSPECIFIED DIABETIC RETINOPATHY WITHOUT MACULAR EDEMA","DIABETES.*MELLITUS; DIABETES; DIABETIC.*RETINOPATHY; DIABETIC"
"A1C","E083211","DIABETES MELLITUS DUE TO UNDERLYING CONDITION WITH MILD NONPROLIFERATIVE DIABETIC RETINOPATHY WITH MACULAR EDEMA, RIGHT EYE","DIABETES.*MELLITUS; DIABETES; DIABETIC.*RETINOPATHY; DIABETIC"
"A1C","E083212","DIABETES MELLITUS DUE TO UNDERLYING CONDITION WITH MILD NONPROLIFERATIVE DIABETIC RETINOPATHY WITH MACULAR EDEMA, LEFT EYE","DIABETES.*MELLITUS; DIABETES; DIABETIC.*RETINOPATHY; DIABETIC"
"A1C","E083213","DIABETES MELLITUS DUE TO UNDERLYING CONDITION WITH MILD NONPROLIFERATIVE DIABETIC RETINOPATHY WITH MACULAR EDEMA, BILATERAL","DIABETES.*MELLITUS; DIABETES; DIABETIC.*RETINOPATHY; DIABETIC"
"A1C","E083219","DIABETES MELLITUS DUE TO UNDERLYING CONDITION WITH MILD NONPROLIFERATIVE DIABETIC RETINOPATHY WITH MACULAR EDEMA, UNSPECIFIED EYE","DIABETES.*MELLITUS; DIABETES; DIABETIC.*RETINOPATHY; DIABETIC"
"A1C","E083291","DIABETES MELLITUS DUE TO UNDERLYING CONDITION WITH MILD NONPROLIFERATIVE DIABETIC RETINOPATHY WITHOUT MACULAR EDEMA, RIGHT EYE","DIABETES.*MELLITUS; DIABETES; DIABETIC.*RETINOPATHY; DIABETIC"
"A1C","E083292","DIABETES MELLITUS DUE TO UNDERLYING CONDITION WITH MILD NONPROLIFERATIVE DIABETIC RETINOPATHY WITHOUT MACULAR EDEMA, LEFT EYE","DIABETES.*MELLITUS; DIABETES; DIABETIC.*RETINOPATHY; DIABETIC"
"A1C","E083293","DIABETES MELLITUS DUE TO UNDERLYING CONDITION WITH MILD NONPROLIFERATIVE DIABETIC RETINOPATHY WITHOUT MACULAR EDEMA, BILATERAL","DIABETES.*MELLITUS; DIABETES; DIABETIC.*RETINOPATHY; DIABETIC"
"A1C","E083299","DIABETES MELLITUS DUE TO UNDERLYING CONDITION WITH MILD NONPROLIFERATIVE DIABETIC RETINOPATHY WITHOUT MACULAR EDEMA, UNSPECIFIED EYE","DIABETES.*MELLITUS; DIABETES; DIABETIC.*RETINOPATHY; DIABETIC"
"A1C","E083311","DIABETES MELLITUS DUE TO UNDERLYING CONDITION WITH MODERATE NONPROLIFERATIVE DIABETIC RETINOPATHY WITH MACULAR EDEMA, RIGHT EYE","DIABETES.*MELLITUS; DIABETES; DIABETIC.*RETINOPATHY; DIABETIC"
"A1C","E083312","DIABETES MELLITUS DUE TO UNDERLYING CONDITION WITH MODERATE NONPROLIFERATIVE DIABETIC RETINOPATHY WITH MACULAR EDEMA, LEFT EYE","DIABETES.*MELLITUS; DIABETES; DIABETIC.*RETINOPATHY; DIABETIC"
"A1C","E083313","DIABETES MELLITUS DUE TO UNDERLYING CONDITION WITH MODERATE NONPROLIFERATIVE DIABETIC RETINOPATHY WITH MACULAR EDEMA, BILATERAL","DIABETES.*MELLITUS; DIABETES; DIABETIC.*RETINOPATHY; DIABETIC"
"A1C","E083319","DIABETES MELLITUS DUE TO UNDERLYING CONDITION WITH MODERATE NONPROLIFERATIVE DIABETIC RETINOPATHY WITH MACULAR EDEMA, UNSPECIFIED EYE","DIABETES.*MELLITUS; DIABETES; DIABETIC.*RETINOPATHY; DIABETIC"
"A1C","E083391","DIABETES MELLITUS DUE TO UNDERLYING CONDITION WITH MODERATE NONPROLIFERATIVE DIABETIC RETINOPATHY WITHOUT MACULAR EDEMA, RIGHT EYE","DIABETES.*MELLITUS; DIABETES; DIABETIC.*RETINOPATHY; DIABETIC"
"A1C","E083392","DIABETES MELLITUS DUE TO UNDERLYING CONDITION WITH MODERATE NONPROLIFERATIVE DIABETIC RETINOPATHY WITHOUT MACULAR EDEMA, LEFT EYE","DIABETES.*MELLITUS; DIABETES; DIABETIC.*RETINOPATHY; DIABETIC"
"A1C","E083393","DIABETES MELLITUS DUE TO UNDERLYING CONDITION WITH MODERATE NONPROLIFERATIVE DIABETIC RETINOPATHY WITHOUT MACULAR EDEMA, BILATERAL","DIABETES.*MELLITUS; DIABETES; DIABETIC.*RETINOPATHY; DIABETIC"
"A1C","E083399","DIABETES MELLITUS DUE TO UNDERLYING CONDITION WITH MODERATE NONPROLIFERATIVE DIABETIC RETINOPATHY WITHOUT MACULAR EDEMA, UNSPECIFIED EYE","DIABETES.*MELLITUS; DIABETES; DIABETIC.*RETINOPATHY; DIABETIC"
"A1C","E083411","DIABETES MELLITUS DUE TO UNDERLYING CONDITION WITH SEVERE NONPROLIFERATIVE DIABETIC RETINOPATHY WITH MACULAR EDEMA, RIGHT EYE","DIABETES.*MELLITUS; DIABETES; DIABETIC.*RETINOPATHY; DIABETIC"
"A1C","E083412","DIABETES MELLITUS DUE TO UNDERLYING CONDITION WITH SEVERE NONPROLIFERATIVE DIABETIC RETINOPATHY WITH MACULAR EDEMA, LEFT EYE","DIABETES.*MELLITUS; DIABETES; DIABETIC.*RETINOPATHY; DIABETIC"
"A1C","E083413","DIABETES MELLITUS DUE TO UNDERLYING CONDITION WITH SEVERE NONPROLIFERATIVE DIABETIC RETINOPATHY WITH MACULAR EDEMA, BILATERAL","DIABETES.*MELLITUS; DIABETES; DIABETIC.*RETINOPATHY; DIABETIC"
"A1C","E083419","DIABETES MELLITUS DUE TO UNDERLYING CONDITION WITH SEVERE NONPROLIFERATIVE DIABETIC RETINOPATHY WITH MACULAR EDEMA, UNSPECIFIED EYE","DIABETES.*MELLITUS; DIABETES; DIABETIC.*RETINOPATHY; DIABETIC"
