"Variable_Name","DX_CODE","DX_DESC","matched_terms_llm_context_loop_icd10"
"A1C","E1122","TYPE 2 DIABETES MELLITUS WITH DIABETIC CHRONIC KIDNEY DISEASE","DIABETES; TYPE.*2.*DIABETES"
"A1C","E8881","Metabolic syndrome and other insulin resistance","INSULIN.*RESISTANCE"
"ALB","A4101","SEPSIS DUE TO METHICILLIN SUSCEPTIBLE STAPHYLOCOCCUS AUREUS","SEPSIS"
"ALB","A419","SEPSIS, UNSPECIFIED ORGANISM","SEPSIS"
"ALB","D472","MONOCLONAL GAMMOPATHY","MONOCLONAL.*GAMMOPATHY"
"ALB","E441","MILD PROTEIN-CALORIE MALNUTRITION","MALNUTRITION"
"ALB","E46","UNSPECIFIED PROTEIN-CALORIE MALNUTRITION","MALNUTRITION"
"ALB","E790","HYPERURICEMIA WITHOUT SIGNS OF INFLAMMATORY ARTHRITIS AND TOPHACEOUS DISEASE","INFLAMMATORY.*DISEASE"
"ALB","E861","HYPOVOLEMIA","HYPOVOLEMIA"
"ALB","E869","VOLUME DEPLETION, UNSPECIFIED","VOLUME.*DEPLETION"
"ALB","K759","INFLAMMATORY LIVER DISEASE, UNSPECIFIED","LIVER.*DISEASE; INFLAMMATORY.*DISEASE"
"ALB","K769","LIVER DISEASE, UNSPECIFIED","LIVER.*DISEASE"
"ALB","M05741","RHEUMATOID ARTHRITIS WITH RHEUMATOID FACTOR OF RIGHT HAND WITHOUT ORGAN OR SYSTEMS INVOLVEMENT","RHEUMATOID.*ARTHRITIS"
"ALB","M05742","RHEUMATOID ARTHRITIS WITH RHEUMATOID FACTOR OF LEFT HAND WITHOUT ORGAN OR SYSTEMS INVOLVEMENT","RHEUMATOID.*ARTHRITIS"
"ALB","M0579","RHEUMATOID ARTHRITIS WITH RHEUMATOID FACTOR OF MULTIPLE SITES WITHOUT ORGAN OR SYSTEMS INVOLVEMENT","RHEUMATOID.*ARTHRITIS"
"ALB","M059","RHEUMATOID ARTHRITIS WITH RHEUMATOID FACTOR, UNSPECIFIED","RHEUMATOID.*ARTHRITIS"
"ALB","M0600","RHEUMATOID ARTHRITIS WITHOUT RHEUMATOID FACTOR, UNSPECIFIED SITE","RHEUMATOID.*ARTHRITIS"
"ALB","M069","RHEUMATOID ARTHRITIS, UNSPECIFIED","RHEUMATOID.*ARTHRITIS"
"ALB","M320","DRUG-INDUCED SYSTEMIC LUPUS ERYTHEMATOSUS","SYSTEMIC.*LUPUS.*ERYTHEMATOSUS"
"ALB","M3210","SYSTEMIC LUPUS ERYTHEMATOSUS, ORGAN OR SYSTEM INVOLVEMENT UNSPECIFIED","SYSTEMIC.*LUPUS.*ERYTHEMATOSUS"
"ALB","M3212","PERICARDITIS IN SYSTEMIC LUPUS ERYTHEMATOSUS","SYSTEMIC.*LUPUS.*ERYTHEMATOSUS"
"ALB","M3213","LUNG INVOLVEMENT IN SYSTEMIC LUPUS ERYTHEMATOSUS","SYSTEMIC.*LUPUS.*ERYTHEMATOSUS"
"ALB","M3214","GLOMERULAR DISEASE IN SYSTEMIC LUPUS ERYTHEMATOSUS","SYSTEMIC.*LUPUS.*ERYTHEMATOSUS"
"ALB","M3219","OTHER ORGAN OR SYSTEM INVOLVEMENT IN SYSTEMIC LUPUS ERYTHEMATOSUS","SYSTEMIC.*LUPUS.*ERYTHEMATOSUS"
"ALB","M329","SYSTEMIC LUPUS ERYTHEMATOSUS, UNSPECIFIED","SYSTEMIC.*LUPUS.*ERYTHEMATOSUS"
