"","VARIABLE_NAME","DX_CODE","DX_DESC","CLINICALLY_RELEVANT","MATCHED_TERMS"
"1","A1C","E0800","DIABETES MELLITUS DUE TO UNDERLYING CONDITION WITH HYPEROSMOLARITY WITHOUT NONKETOTIC HYPERGLYCEMIC-HYPEROSMOLAR COMA (NKHHC)",TRUE,"DIABETES; DIABETES.*MELLITUS"
"2","A1C","E0801","DIABETES MELLITUS DUE TO UNDERLYING CONDITION WITH HYPEROSMOLARITY WITH COMA",TRUE,"DIABETES; DIABETES.*MELLITUS"
"3","A1C","E0810","DIABETES MELLITUS DUE TO UNDERLYING CONDITION WITH KETOACIDOSIS WITHOUT COMA",TRUE,"DIABETES; DIABETES.*MELLITUS"
"4","A1C","E0821","DIABETES MELLITUS DUE TO UNDERLYING CONDITION WITH DIABETIC NEPHROPATHY",TRUE,"DIABETES; DIABETES.*MELLITUS; DIABETES.*WITH.*NEPHROPATHY"
"5","A1C","E0840","DIABETES MELLITUS DUE TO UNDERLYING CONDITION WITH DIABETIC NEUROPATHY, UNSPECIFIED",TRUE,"DIABETES; DIABETES.*MELLITUS; DIABETES.*UNSPECIFIED; DIABETES.*WITH.*NEUROPATHY"
"6","A1C","E0842","DIABETES MELLITUS DUE TO UNDERLYING CONDITION WITH DIABETIC POLYNEUROPATHY",TRUE,"DIABETES; DIABETES.*MELLITUS; DIABETES.*WITH.*NEUROPATHY"
"7","A1C","E08621","DIABETES MELLITUS DUE TO UNDERLYING CONDITION WITH FOOT ULCER",TRUE,"DIABETES; DIABETES.*MELLITUS"
"8","A1C","E08622","DIABETES MELLITUS DUE TO UNDERLYING CONDITION WITH OTHER SKIN ULCER",TRUE,"DIABETES; DIABETES.*MELLITUS"
"9","A1C","E0865","DIABETES MELLITUS DUE TO UNDERLYING CONDITION WITH HYPERGLYCEMIA",TRUE,"DIABETES; HYPERGLYCEMIA; DIABETES.*MELLITUS"
"10","A1C","E0869","DIABETES MELLITUS DUE TO UNDERLYING CONDITION WITH OTHER SPECIFIED COMPLICATION",TRUE,"DIABETES; DIABETES.*MELLITUS"
"11","A1C","E088","DIABETES MELLITUS DUE TO UNDERLYING CONDITION WITH UNSPECIFIED COMPLICATIONS",TRUE,"DIABETES; DIABETES.*MELLITUS; DIABETES.*UNSPECIFIED; DIABETES.*WITH.*COMPLICATIONS"
"12","A1C","E089","DIABETES MELLITUS DUE TO UNDERLYING CONDITION WITHOUT COMPLICATIONS",TRUE,"DIABETES; DIABETES.*MELLITUS; DIABETES.*WITH.*COMPLICATIONS; DIABETES.*WITHOUT.*COMPLICATIONS"
"13","A1C","E099","DRUG OR CHEMICAL INDUCED DIABETES MELLITUS WITHOUT COMPLICATIONS",TRUE,"DIABETES; DIABETES.*MELLITUS; DIABETES.*WITH.*COMPLICATIONS; DIABETES.*WITHOUT.*COMPLICATIONS"
