"","Variable_Name","Search_Term"
"1","ALB","hyperalbuminemia"
"2","ALB","severe dehydration"
"3","ALB","dehydration"
"4","ALB","monoclonal gammopathy"
"5","ALB","high albumin"
"6","ALB","elevated albumin"
"7","ALB","liver disease"
"8","ALB","nephrotic syndrome"
"9","ALB","severe malnutrition"
"10","ALB","inflammatory bowel disease"
"11","ALB","systemic lupus erythematosus"
"12","ALB","rheumatoid arthritis"
"13","ALB","severe burns"
"14","ALB","sepsis"
"15","ALB","albumin disorder"
"16","ALB","hypoalbuminemia"
"17","ALB","low albumin"
"18","ALB","malnutrition"
"19","ALB","protein-losing enteropathy"
"20","ALB","plasma volume depletion"
"21","ALB","hemoconcentration"
"22","ALB","relative polycythemia"
"23","ALB","hepatic dysfunction"
"24","ALB","inflammatory disease"
"25","ALB","advanced heart failure"
"26","ALB","hypovolemia due to dehydration"
"27","ALB","fluid depletion"
"28","ALB","volume depletion"
"29","ALB","hypovolemia"
"30","ALB","high albumin levels"
"31","ALB","increased albumin"
"32","ALB","hyperproteinemia"
"33","ALB","increased plasma protein"
"34","ALB","elevated serum protein"
"35","ALB","protein concentration disorder"
"36","A1C","diabetes"
"37","A1C","impaired glycemic control"
"38","A1C","prediabetes"
"39","A1C","type 1 diabetes"
"40","A1C","type 2 diabetes"
"41","A1C","gestational diabetes"
"42","A1C","diabetic ketoacidosis"
"43","A1C","hyperglycemia"
"44","A1C","uncontrolled diabetes"
"45","A1C","elevated blood sugar"
"46","A1C","high blood sugar"
"47","A1C","poorly controlled diabetes"
"48","A1C","elevated hemoglobin a1c"
"49","A1C","insulin resistance"
"50","A1C","other specified diabetes mellitus"
"51","A1C","unspecified diabetes mellitus"
"52","A1C","glucose intolerance"
"53","A1C","hyperosmolar hyperglycemic state"
"54","A1C","hyperglycaemia"
"55","A1C","elevated blood glucose"
"56","A1C","elevated glucose"
"57","A1C","hyperglycemic hyperosmolar state"
"58","A1C","elevated a1c"
"59","A1C","diabetic coma"
"60","A1C","type one diabetes"
"61","A1C","type two diabetes"
"62","A1C","abnormal glucose metabolism"
"63","BMI","obesity"
"64","BMI","morbid obesity"
"65","BMI","grade i obesity"
"66","BMI","grade ii obesity"
"67","BMI","grade iii obesity"
"68","BMI","overweight"
"69","BMI","severe obesity"
"70","BMI","extreme obesity"
"71","BMI","pathological obesity"
"72","BMI","severely obese"
"73","BMI","extremely obese"
"74","BMI","excessive weight gain"
"75","BMI","adiposity"
"76","BMI","body mass index high"
"77","BMI","excessive weight"
"78","BMI","high body mass index"
"79","BMI","body mass index elevated"
"80","BMI","diet-induced obesity"
"81","BMI","obesity class 1"
"82","BMI","obesity class 2"
"83","BMI","obesity class 3"
"84","BMI","adipose tissue accumulation"
"85","BMI","abnormally high body mass"
"86","BMI","high bmi"
"87","BMI","obesity due to excess calories"
"88","BMI","abnormal body mass index"
"89","BMI","grade one obesity"
"90","BMI","grade two obesity"
"91","BMI","grade three obesity"
"92","BMI","high body fat"
"93","BMI","elevated body mass index"
"94","BP_SYSTOLIC","hypertension"
"95","BP_SYSTOLIC","elevated blood pressure"
"96","BP_SYSTOLIC","high blood pressure"
"97","BP_SYSTOLIC","essential hypertension"
"98","BP_SYSTOLIC","secondary hypertension"
"99","BP_SYSTOLIC","hypertensive crisis"
"100","BP_SYSTOLIC","prehypertension"
"101","BP_SYSTOLIC","elevated systolic blood pressure"
"102","BP_SYSTOLIC","primary hypertension"
"103","BP_SYSTOLIC","malignant hypertension"
"104","BP_SYSTOLIC","hypertensive heart disease"
"105","BP_SYSTOLIC","hypertensive renal disease"
"106","BP_SYSTOLIC","benign hypertension"
"107","BP_SYSTOLIC","pre-hypertension"
"108","BP_SYSTOLIC","hypertensive urgency"
"109","BP_SYSTOLIC","hypertensive emergency"
"110","BP_SYSTOLIC","hypertensive kidney disease"
"111","BP_SYSTOLIC","sustained high blood pressure"
"112","BP_SYSTOLIC","accelerated hypertension"
"113","BP_SYSTOLIC","systemic hypertension"
"114","BP_DIASTOLIC","hypertension"
"115","BP_DIASTOLIC","elevated blood pressure"
"116","BP_DIASTOLIC","high blood pressure"
"117","BP_DIASTOLIC","essential hypertension"
"118","BP_DIASTOLIC","secondary hypertension"
"119","BP_DIASTOLIC","hypertensive crisis"
"120","BP_DIASTOLIC","prehypertension"
"121","BP_DIASTOLIC","elevated diastolic blood pressure"
"122","BP_DIASTOLIC","primary hypertension"
"123","BP_DIASTOLIC","malignant hypertension"
"124","BP_DIASTOLIC","hypertensive heart disease"
"125","BP_DIASTOLIC","hypertensive renal disease"
