CLINICALLY_RELEVANT,VARIABLE_NAME,ICD_DX_CODE,MATCHED_TERMS
FALSE,A1C,E0800,DIABETES; DIABETES.*MELLITUS
FALSE,A1C,E0801,DIABETES; DIABETES.*MELLITUS
FALSE,A1C,E0810,DIABETES; DIABETES.*MELLITUS
FALSE,A1C,E0821,DIABETES; DIABETES.*MELLITUS; DIABETES.*WITH.*NEPHROPATHY
FALSE,A1C,E0840,DIABETES; DIABETES.*MELLITUS; DIABETES.*UNSPECIFIED; DIABETES.*WITH.*NEUROPATHY
FALSE,A1C,E0842,DIABETES; DIABETES.*MELLITUS; DIABETES.*WITH.*NEUROPATHY
FALSE,A1C,E08621,DIABETES; DIABETES.*MELLITUS
FALSE,A1C,E08622,DIABETES; DIABETES.*MELLITUS
FALSE,A1C,E0865,DIABETES; HYPERGLYCEMIA; DIABETES.*MELLITUS
FALSE,A1C,E0869,DIABETES; DIABETES.*MELLITUS
FALSE,A1C,E088,DIABETES; DIABETES.*MELLITUS; DIABETES.*UNSPECIFIED; DIABETES.*WITH.*COMPLICATIONS
FALSE,A1C,E089,DIABETES; DIABETES.*MELLITUS; DIABETES.*WITH.*COMPLICATIONS; DIABETES.*WITHOUT.*COMPLICATIONS
FALSE,A1C,E099,DIABETES; DIABETES.*MELLITUS; DIABETES.*WITH.*COMPLICATIONS; DIABETES.*WITHOUT.*COMPLICATIONS
TRUE,A1C,E1010,DIABETES; TYPE.*1.*DIABETES; DIABETES.*MELLITUS; TYPE.*1.*DIABETES.*MELLITUS
TRUE,A1C,E1029,DIABETES; TYPE.*1.*DIABETES; DIABETES.*MELLITUS; TYPE.*1.*DIABETIC; TYPE.*1.*DIABETES.*MELLITUS
TRUE,A1C,E103293,DIABETES; TYPE.*1.*DIABETES; DIABETES.*MELLITUS; TYPE.*1.*DIABETIC; TYPE.*1.*DIABETES.*MELLITUS; DIABETES.*WITH.*RETINOPATHY
