"","Variable_Name","DX_CODE","DX_DESC","matched_terms_llm_context_clinician","CLINICIAN_AGREED"
"1","A1C","E0800","DIABETES MELLITUS DUE TO UNDERLYING CONDITION WITH HYPEROSMOLARITY WITHOUT NONKETOTIC HYPERGLYCEMIC-HYPEROSMOLAR COMA (NKHHC)","DIABETES; DIABETES.*MELLITUS",FALSE
"2","A1C","E0801","DIABETES MELLITUS DUE TO UNDERLYING CONDITION WITH HYPEROSMOLARITY WITH COMA","DIABETES; DIABETES.*MELLITUS",FALSE
"3","A1C","E0810","DIABETES MELLITUS DUE TO UNDERLYING CONDITION WITH KETOACIDOSIS WITHOUT COMA","DIABETES; DIABETES.*MELLITUS",FALSE
"4","A1C","E0821","DIABETES MELLITUS DUE TO UNDERLYING CONDITION WITH DIABETIC NEPHROPATHY","DIABETES; DIABETES.*MELLITUS; DIABETES.*WITH.*NEPHROPATHY",FALSE
"5","A1C","E0840","DIABETES MELLITUS DUE TO UNDERLYING CONDITION WITH DIABETIC NEUROPATHY, UNSPECIFIED","DIABETES; DIABETES.*MELLITUS; DIABETES.*UNSPECIFIED; DIABETES.*WITH.*NEUROPATHY",FALSE
"6","A1C","E0842","DIABETES MELLITUS DUE TO UNDERLYING CONDITION WITH DIABETIC POLYNEUROPATHY","DIABETES; DIABETES.*MELLITUS; DIABETES.*WITH.*NEUROPATHY",FALSE
"7","A1C","E08621","DIABETES MELLITUS DUE TO UNDERLYING CONDITION WITH FOOT ULCER","DIABETES; DIABETES.*MELLITUS",FALSE
"8","A1C","E08622","DIABETES MELLITUS DUE TO UNDERLYING CONDITION WITH OTHER SKIN ULCER","DIABETES; DIABETES.*MELLITUS",FALSE
"9","A1C","E0865","DIABETES MELLITUS DUE TO UNDERLYING CONDITION WITH HYPERGLYCEMIA","DIABETES; HYPERGLYCEMIA; DIABETES.*MELLITUS",FALSE
"10","A1C","E0869","DIABETES MELLITUS DUE TO UNDERLYING CONDITION WITH OTHER SPECIFIED COMPLICATION","DIABETES; DIABETES.*MELLITUS",FALSE
"11","A1C","E088","DIABETES MELLITUS DUE TO UNDERLYING CONDITION WITH UNSPECIFIED COMPLICATIONS","DIABETES; DIABETES.*MELLITUS; DIABETES.*UNSPECIFIED; DIABETES.*WITH.*COMPLICATIONS",FALSE
"12","A1C","E089","DIABETES MELLITUS DUE TO UNDERLYING CONDITION WITHOUT COMPLICATIONS","DIABETES; DIABETES.*MELLITUS; DIABETES.*WITH.*COMPLICATIONS; DIABETES.*WITHOUT.*COMPLICATIONS",FALSE
"13","A1C","E099","DRUG OR CHEMICAL INDUCED DIABETES MELLITUS WITHOUT COMPLICATIONS","DIABETES; DIABETES.*MELLITUS; DIABETES.*WITH.*COMPLICATIONS; DIABETES.*WITHOUT.*COMPLICATIONS",FALSE
"14","A1C","E1010","TYPE 1 DIABETES MELLITUS WITH KETOACIDOSIS WITHOUT COMA","DIABETES; TYPE.*1.*DIABETES; DIABETES.*MELLITUS; TYPE.*1.*DIABETES.*MELLITUS",TRUE
"15","A1C","E1029","TYPE 1 DIABETES MELLITUS WITH OTHER DIABETIC KIDNEY COMPLICATION","DIABETES; TYPE.*1.*DIABETES; DIABETES.*MELLITUS; TYPE.*1.*DIABETIC; TYPE.*1.*DIABETES.*MELLITUS",TRUE
"16","A1C","E103293","TYPE 1 DIABETES MELLITUS WITH MILD NONPROLIFERATIVE DIABETIC RETINOPATHY WITHOUT MACULAR EDEMA, BILATERAL","DIABETES; TYPE.*1.*DIABETES; DIABETES.*MELLITUS; TYPE.*1.*DIABETIC; TYPE.*1.*DIABETES.*MELLITUS; DIABETES.*WITH.*RETINOPATHY",TRUE
"17","A1C","E103299","TYPE 1 DIABETES MELLITUS WITH MILD NONPROLIFERATIVE DIABETIC RETINOPATHY WITHOUT MACULAR EDEMA, UNSPECIFIED EYE","DIABETES; TYPE.*1.*DIABETES; DIABETES.*MELLITUS; TYPE.*1.*DIABETIC; TYPE.*1.*DIABETES.*MELLITUS; DIABETES.*UNSPECIFIED; TYPE.*1.*DIABETES.*UNSPECIFIED; DIABETES.*WITH.*RETINOPATHY",TRUE
