"","Variable_Name","Search_Term"
"1","ALB","unhealthy high serum albumin"
"2","ALB","elevated albumin level"
"3","ALB","hyperalbuminemia"
"4","ALB","increased serum albumin"
"5","ALB","high blood albumin"
"6","ALB","albumin excess"
"7","ALB","concentrated albumin"
"8","ALB","high serum albumin"
"9","ALB","unhealthy high albumin"
"10","ALB","increased albumin concentration"
"11","ALB","hyperproteinemia"
"12","ALB","hemoconcentration"
"13","ALB","increased albumin"
"14","ALB","high serum protein"
"15","ALB","relative hyperalbuminemia"
"16","ALB","dehydration"
"17","ALB","high protein in blood"
"18","ALB","increased colloid osmotic pressure"
"19","ALB","concentrated blood"
"20","ALB","increased albumin levels"
"21","ALB","abnormally high albumin"
"22","ALB","plasma hyperalbuminemia"
"23","ALB","relative increase in albumin"
"24","ALB","dehydration-induced hyperalbuminemia"
"25","ALB","hyperalbuminemia, unspecified"
"26","ALB","elevated blood albumin"
"27","ALB","increased total protein"
"28","ALB","concentrated plasma albumin"
"29","ALB","spurious hyperalbuminemia"
"30","ALB","albumin high"
"31","ALB","serum albumin elevated"
"32","ALB","abnormally high blood protein"
"33","ALB","hyperalbuminemia, secondary"
"34","ALB","elevated albumin due to dehydration"
"35","ALB","high protein in serum"
"36","ALB","concentrated blood due to fluid loss"
"37","ALB","hyperalbuminemia, stable"
"38","ALB","elevated serum albumin, stable"
"39","ALB","high protein levels, stable"
"40","ALB","concentrated plasma, stable"
"41","ALB","dehydration related albumin increase, stable"
"42","ALB","hyperalbuminemia, uncontrolled"
"43","ALB","elevated serum albumin, uncontrolled"
"44","ALB","high protein levels, uncontrolled"
"45","ALB","concentrated plasma, uncontrolled"
"46","ALB","dehydration related albumin increase, uncontrolled"
"47","ALB","abnormally high albumin level"
"48","ALB","hyperalbuminemia due to volume depletion"
"49","ALB","increased plasma albumin concentration"
"50","ALB","relative hyperalbuminemia secondary to dehydration"
"51","ALB","abnormally high serum protein"
"52","ALB","hyperalbuminemia from dehydration"
"53","ALB","elevated albumin"
"54","ALB","abnormally high albumin in blood"
"55","ALB","hyperalbuminemia, due to volume contraction"
"56","ALB","increased albumin plasma"
"57","ALB","elevated total protein, non-specific"
"58","ALB","hyperalbuminemia, temporary"
"59","ALB","increased serum albumin, transient"
"60","ALB","high blood protein, benign"
"61","ALB","relative hyperalbuminemia, unspecified"
"62","ALB","hyperalbuminemia with dehydration"
"63","ALB","high serum albumin, unspecified cause"
"64","ALB","increased blood protein concentration"
"65","ALB","abnormally high albumin levels"
"66","ALB","albumin concentration high"
"67","ALB","elevated serum albumin, specified cause"
"68","ALB","increased blood albumin levels"
"69","ALB","plasma protein elevation"
"70","ALB","increased albumin in plasma"
"71","ALB","high albumin concentration"
"72","ALB","serum albumin over normal range"
"73","ALB","blood protein elevated"
"74","ALB","hyperalbuminemia, resolved"
"75","ALB","elevated serum albumin, resolved"
"76","ALB","high protein levels, normalized"
"77","ALB","concentrated plasma, resolved"
"78","ALB","dehydration related albumin increase, resolved"
"79","A1C","diabetes"
"80","A1C","impaired glycemic control"
"81","A1C","elevated hemoglobin a1c"
"82","A1C","hyperglycemia"
"83","A1C","prediabetes"
"84","A1C","uncontrolled blood sugar"
"85","A1C","high average glucose"
"86","A1C","abnormal glucose metabolism"
"87","A1C","type 1 diabetes"
"88","A1C","type 2 diabetes"
"89","A1C","gestational diabetes"
"90","A1C","diabetes mellitus"
"91","A1C","uncontrolled diabetes"
"92","A1C","high a1c"
"93","A1C","abnormal glucose"
"94","A1C","elevated blood sugar"
"95","A1C","pre-diabetes"
"96","A1C","type 1 diabetic"
"97","A1C","type 2 diabetic"
"98","A1C","glycated hemoglobin high"
"99","A1C","glucose dysregulation"
"100","A1C","impaired glucose tolerance"
"101","A1C","type 2 diabetes mellitus"
"102","A1C","type 1 diabetes mellitus"
"103","A1C","elevated a1c"
"104","A1C","high blood glucose"
"105","A1C","impaired glucose metabolism"
"106","A1C","insulin resistance"
"107","A1C","metabolic syndrome, diabetes type ii"
"108","A1C","diabetes type i"
"109","A1C","high a1c value"
"110","A1C","poorly controlled diabetes"
"111","A1C","elevated average blood sugar"
"112","A1C","glucose abnormality"
"113","A1C","acquired insulin resistance"
"114","A1C","hereditary diabetes"
"115","A1C","diabetes mellitus, type 1"
"116","A1C","diabetes mellitus, type 2"
"117","A1C","prediabetes condition"
"118","A1C","high a1c test result"
"119","A1C","elevated glycated hemoglobin"
"120","A1C","glucose metabolic disorder"
"121","A1C","uncontrolled glucose"
"122","A1C","abnormal a1c"
"123","A1C","diabetes uncontrolled"
"124","A1C","elevated hba1c"
"125","A1C","glucose intolerance"
"126","A1C","hyperglycemia, chronic"
"127","A1C","new onset diabetes"
"128","A1C","diabetes type ii"
"129","A1C","diabetes, unspecified"
"130","A1C","prediabetes, unspecified"
"131","A1C","elevated a1c, unspecified"
"132","A1C","high blood sugar, unspecified"
"133","A1C","hyperglycemia, unspecified"
"134","A1C","abnormal glucose tolerance"
"135","A1C","type 1 diabetes with complications"
"136","A1C","diabetes mellitus, stable"
"137","A1C","prediabetes, stable"
"138","A1C","high a1c, stable"
"139","A1C","impaired glucose metabolism, stable"
"140","A1C","hyperglycemia, stable"
"141","A1C","insulin resistance, stable"
"142","A1C","type ii diabetes, stable"
"143","A1C","diabetes mellitus, uncontrolled"
"144","A1C","prediabetes, uncontrolled"
"145","A1C","high a1c, uncontrolled"
"146","A1C","impaired glucose metabolism, uncontrolled"
"147","A1C","hyperglycemia, uncontrolled"
"148","A1C","insulin resistance, uncontrolled"
"149","A1C","type ii diabetes, uncontrolled"
"150","A1C","diabetes mellitus type 1, with hyperglycemia"
"151","A1C","diabetes mellitus type 2, with hyperglycemia"
"152","A1C","gestational diabetes with poor control"
"153","A1C","prediabetes with elevated glucose"
"154","A1C","impaired glucose tolerance with high a1c"
"155","A1C","abnormal hemoglobin a1c"
"156","A1C","high average blood sugar"
"157","A1C","diabetes with complications"
"158","A1C","glucose intolerance syndrome"
"159","A1C","high blood sugar chronic"
"160","A1C","glycemia impaired"
"161","A1C","abnormal glucose regulation"
"162","A1C","diabetes without complications"
"163","A1C","metabolic syndrome"
"164","A1C","elevated a1c due to diabetes"
"165","A1C","chronic hyperglycemia"
"166","A1C","impaired glucose regulation, specified"
"167","A1C","type 1 diabetes, with complications"
"168","A1C","type 2 diabetes, with complications"
"169","A1C","high average blood glucose"
"170","A1C","diabetes mellitus with poor control"
"171","A1C","prediabetes with uncontrolled glucose"
"172","A1C","persistent hyperglycemia"
"173","A1C","glucose dysregulation, severe"
"174","A1C","type 1 diabetes, unspecified"
"175","A1C","type 2 diabetes, unspecified"
"176","A1C","diabetes with neuropathy"
"177","A1C","diabetes with nephropathy"
"178","A1C","diabetes with retinopathy"
"179","A1C","gestational diabetes, uncontrolled"
"180","A1C","diabetes related conditions"
"181","A1C","glucose metabolism disorder"
"182","A1C","high a1c results"
"183","A1C","impaired fasting glucose, specified"
"184","A1C","chronic high blood sugar"
"185","A1C","diabetes type 1 with ketoacidosis"
"186","A1C","diabetes type 2 with hyperosmolar state"
"187","A1C","diabetic state"
"188","A1C","abnormal a1c reading"
"189","A1C","elevated blood glucose over time"
"190","A1C","impaired glucose conversion"
"191","A1C","hyperglycemic condition"
"192","A1C","insulin resistance syndrome"
"193","A1C","non-insulin dependent diabetes"
"194","A1C","diabetes in remission"
"195","A1C","prediabetes, resolved"
"196","A1C","high a1c, normalized"
"197","A1C","glucose metabolism, normalized"
"198","A1C","hyperglycemia, resolved"
"199","A1C","insulin resistance, resolved"
"200","A1C","type ii diabetes, controlled with diet"
"201","BMI","obesity"
"202","BMI","morbid obesity"
"203","BMI","grade i obesity"
"204","BMI","grade ii obesity"
"205","BMI","grade iii obesity"
"206","BMI","severe obesity"
