"","Variable_Name","Search_Term"
"1","ALB","dehydration"
"2","ALB","severe dehydration"
"3","ALB","hypovolemia"
"4","ALB","fluid depletion"
"5","ALB","concentrated blood"
"6","ALB","volume depletion"
"7","ALB","hemoconcentration"
"8","ALB","severe vomiting"
"9","ALB","severe diarrhea"
"10","ALB","extensive burns"
"11","ALB","fluid deficit"
"12","ALB","fluid loss"
"13","ALB","lack of fluids"
"14","ALB","high albumin"
"15","ALB","elevated albumin"
"16","ALB","plasma volume reduction"
"17","ALB","hyperalbuminemia"
"18","ALB","increased albumin"
"19","ALB","water deficit"
"20","ALB","excess albumin"
"21","ALB","water deprivation"
"22","ALB","plasma volume depletion"
"23","ALB","excessive fluid loss"
"24","ALB","vomiting"
"25","ALB","diarrhea"
"26","ALB","excessive albumin"
"27","A1C","diabetes mellitus"
"28","A1C","type 2 diabetes"
"29","A1C","type 1 diabetes"
"30","A1C","prediabetes"
"31","A1C","impaired glucose tolerance"
"32","A1C","hyperglycemia"
"33","A1C","elevated blood glucose"
"34","A1C","diabetic complications"
"35","A1C","uncontrolled diabetes"
"36","A1C","elevated blood sugar"
"37","A1C","diabetic ketoacidosis"
"38","A1C","diabetes"
"39","A1C","hyperosmolar hyperglycemic state"
"40","A1C","gestational diabetes"
"41","A1C","abnormal glucose metabolism"
"42","A1C","poor glycemic control"
"43","A1C","pre-diabetes"
"44","A1C","high blood sugar"
"45","A1C","high hemoglobin a1c"
"46","A1C","elevated hemoglobin a1c"
"47","A1C","increased hemoglobin a1c"
"48","A1C","poorly controlled diabetes"
"49","A1C","high glycated hemoglobin"
"50","A1C","elevated glycated hemoglobin"
"51","A1C","high glycosylated hemoglobin"
"52","A1C","elevated glycosylated hemoglobin"
"53","A1C","glycated hemoglobin elevated"
"54","A1C","glycated hemoglobin high"
"55","A1C","diabetic retinopathy"
"56","A1C","diabetic nephropathy"
"57","A1C","diabetic neuropathy"
"58","A1C","diabetes with complications"
"59","A1C","elevated glucose"
"60","A1C","hemoglobin a1c elevation"
"61","A1C","glycosylated hemoglobin high"
"62","A1C","diabetic"
"63","A1C","type one diabetes"
"64","A1C","type two diabetes"
"65","BMI","obesity"
"66","BMI","morbid obesity"
"67","BMI","extreme obesity"
"68","BMI","overweight"
"69","BMI","adiposity"
"70","BMI","excess weight"
"71","BMI","high body mass"
"72","BMI","excessive weight"
"73","BMI","severe obesity"
"74","BMI","high body mass index"
"75","BMI","body mass index elevated"
"76","BMI","metabolic syndrome"
"77","BMI","abnormal weight gain"
"78","BMI","obesity hypoventilation syndrome"
"79","BMI","pathological obesity"
"80","BMI","high body fat"
"81","BMI","weight gain"
"82","BMI","excessive weight gain"
"83","BMI","hyperalimentation"
"84","BMI","elevated body mass index"
"85","BMI","increased body mass index"
"86","BMI","high bmi"
"87","BMI","elevated bmi"
"88","BMI","increased bmi"
"89","BMI","body mass index increased"
"90","BMI","super obesity"
"91","BMI","obese due to"
"92","BMI","dietary obesity"
"93","BMI","endogenous obesity"
"94","BMI","body mass index high"
"95","BMI","hyperalimentation obesity"
"96","BMI","obesity class 1"
"97","BMI","obesity class 2"
"98","BMI","obesity class 3"
"99","BMI","body fat excess"
"100","BMI","abdominal obesity"
"101","BMI","central obesity"
"102","BMI","generalized obesity"
"103","BMI","increased body fat"
"104","BMI","overweight status"
"105","BMI","corpulence"
"106","BMI","obesity related condition"
"107","BMI","unhealthy weight gain"
"108","BMI","excessive body fat"
"109","BMI","body fat"
"110","BMI","pathological weight gain"
"111","BMI","body mass index ninety five percentile"
"112","BMI","body mass index ninety nine percentile"
"113","BP_SYSTOLIC","hypertension"
"114","BP_SYSTOLIC","high blood pressure"
"115","BP_SYSTOLIC","essential hypertension"
"116","BP_SYSTOLIC","primary hypertension"
"117","BP_SYSTOLIC","malignant hypertension"
"118","BP_SYSTOLIC","hypertensive crisis"
"119","BP_SYSTOLIC","elevated blood pressure"
"120","BP_SYSTOLIC","secondary hypertension"
"121","BP_SYSTOLIC","hypertensive heart disease"
"122","BP_SYSTOLIC","hypertensive renal disease"
"123","BP_SYSTOLIC","prehypertension"
"124","BP_SYSTOLIC","hypertensive kidney disease"
"125","BP_SYSTOLIC","systemic hypertension"
"126","BP_SYSTOLIC","high systolic blood pressure"
"127","BP_SYSTOLIC","elevated systolic blood pressure"
"128","BP_SYSTOLIC","increased systolic blood pressure"
"129","BP_SYSTOLIC","accelerated hypertension"
"130","BP_SYSTOLIC","systolic hypertension"
"131","BP_SYSTOLIC","hypertensive disease"
"132","BP_SYSTOLIC","increased blood pressure"
"133","BP_SYSTOLIC","hypertensive encephalopathy"
"134","BP_SYSTOLIC","labile hypertension"
"135","BP_SYSTOLIC","blood pressure high"
"136","BP_SYSTOLIC","pressor response"
"137","BP_SYSTOLIC","hypertensive urgency"
"138","BP_SYSTOLIC","hypertensive emergency"
"139","BP_SYSTOLIC","uncontrolled hypertension"
"140","BP_SYSTOLIC","hypertensive retinopathy"
"141","BP_DIASTOLIC","hypertension"
"142","BP_DIASTOLIC","high blood pressure"
"143","BP_DIASTOLIC","essential hypertension"
"144","BP_DIASTOLIC","primary hypertension"
"145","BP_DIASTOLIC","malignant hypertension"
"146","BP_DIASTOLIC","hypertensive crisis"
"147","BP_DIASTOLIC","elevated blood pressure"
"148","BP_DIASTOLIC","secondary hypertension"
"149","BP_DIASTOLIC","hypertensive heart disease"
"150","BP_DIASTOLIC","hypertensive renal disease"
"151","BP_DIASTOLIC","prehypertension"
