"","Variable_Name","Search_Term"
"1","ALB","elevated albumin"
"2","ALB","hyperalbuminemia"
"3","ALB","high protein in blood"
"4","ALB","increased serum protein"
"5","ALB","excessive albumin levels"
"6","ALB","dehydration related albumin"
"7","ALB","increased albumin"
"8","ALB","high serum albumin levels"
"9","ALB","protein excess in blood"
"10","ALB","albumin elevation"
"11","ALB","dehydration leading to high albumin"
"12","ALB","high albumin blood test"
"13","ALB","excessive protein in bloodstream"
"14","ALB","dehydrated with high albumin"
"15","ALB","concentrated albumin levels"
"16","ALB","high serum protein"
"17","ALB","concentrated blood albumin"
"18","ALB","dehydration with high serum albumin"
"19","ALB","excessive plasma albumin"
"20","ALB","high concentration of albumin in blood"
"21","ALB","dehydrated high albumin"
"22","ALB","high blood albumin levels"
"23","ALB","protein concentration high"
"24","ALB","dehydration and albumin elevation"
"25","ALB","excess protein in blood"
"26","ALB","high serum albumin concentration"
"27","ALB","dehydrated and elevated albumin"
"28","ALB","albumin high in blood test"
"29","ALB","elevated protein levels in serum"
"30","ALB","dehydration with high blood albumin"
"31","ALB","serum albumin elevated"
"32","ALB","protein concentration high in blood"
"33","ALB","high albumin due to fluid loss"
"34","ALB","elevated blood albumin concentration"
"35","ALB","protein excess in blood serum"
"36","ALB","fluid imbalance high albumin"
"37","ALB","high albumin value"
"38","ALB","excessive protein in blood test"
"39","ALB","concentrated serum albumin"
"40","ALB","albumin levels elevated"
"41","ALB","high protein in plasma"
"42","ALB","dehydration high albumin blood"
"43","ALB","high serum protein levels"
"44","ALB","albumin concentration too high"
"45","ALB","dehydration induced high albumin"
"46","ALB","excessive albumin in blood"
"47","ALB","high protein levels plasma"
"48","ALB","concentrated albumin from dehydration"
"49","ALB","high blood protein"
"50","ALB","elevated serum albumin level"
"51","ALB","concentrated blood due to dehydration and high albumin"
"52","ALB","excess albumin blood"
"53","ALB","high protein in serum sample"
"54","ALB","dehydrated high albumin level"
"55","ALB","high albumin concentration in blood"
"56","ALB","elevated serum protein level"
"57","ALB","dehydration causing high albumin"
"58","ALB","albumin blood test high"
"59","ALB","protein levels elevated in serum"
"60","ALB","high albumin from fluid deficit"
"61","ALB","serum albumin excessively high"
"62","ALB","protein concentration elevated in blood"
"63","ALB","high albumin and dehydration"
"64","ALB","dehydration and high albumin concentration"
"65","A1C","high blood sugar"
"66","A1C","uncontrolled diabetes"
"67","A1C","elevated glucose"
"68","A1C","prolonged hyperglycemia"
"69","A1C","impaired glucose regulation"
"70","A1C","abnormal sugar levels"
"71","A1C","diabetic complications"
"72","A1C","diabetes mellitus"
"73","A1C","glycemic control issue"
"74","A1C","elevated a1c"
"75","A1C","persistent high glucose"
"76","A1C","poor sugar management"
"77","A1C","diabetic state"
"78","A1C","uncontrolled blood sugar"
"79","A1C","diabetic complications due to high sugar"
"80","A1C","abnormal hemoglobin a1c"
"81","A1C","persistent high blood glucose"
"82","A1C","poor glycemic control"
"83","A1C","diabetes out of control"
"84","A1C","elevated glycated hemoglobin"
"85","A1C","long-term high blood sugar"
"86","A1C","chronic hyperglycemia"
"87","A1C","uncontrolled diabetic state"
"88","A1C","persistently high blood glucose"
"89","A1C","diabetic decompensation"
"90","A1C","high average blood sugar"
"91","A1C","uncontrolled sugar disease"
"92","A1C","poorly controlled diabetes"
"93","A1C","long-standing high blood glucose"
"94","A1C","elevated average blood sugar"
"95","A1C","unmanaged diabetes"
"96","A1C","high blood sugar complications"
"97","A1C","elevated sugar levels chronically"
"98","A1C","chronic high blood sugar"
"99","A1C","diabetes management failure"
"100","A1C","elevated glucose indicator"
"101","A1C","uncontrolled diabetes mellitus"
"102","A1C","persistent high glucose levels"
"103","A1C","elevated average sugar"
"104","A1C","high blood glucose"
"105","A1C","diabetes complications"
"106","A1C","elevated glycosylated hemoglobin"
"107","A1C","unstable diabetes"
"108","A1C","high blood sugar disorder"
"109","A1C","elevated average glucose levels"
"110","A1C","persistent high blood sugar"
"111","A1C","uncontrolled sugar condition"
"112","A1C","elevated blood glucose marker"
"113","A1C","high glucose average"
"114","A1C","elevated blood sugar readings"
"115","A1C","diabetic hyperglycemia"
"116","A1C","high sugar levels long term"
"117","A1C","elevated a1c test"
"118","A1C","uncontrolled diabetic hyperglycemia"
"119","A1C","high average blood glucose"
"120","A1C","elevated hemoglobin a1c"
"121","A1C","chronic high blood glucose"
"122","A1C","elevated blood sugar persistently"
"123","A1C","high sugar readings"
"124","A1C","uncontrolled diabetes complications"
"125","A1C","chronic high glucose"
"126","A1C","elevated blood sugar over time"
"127","A1C","poorly managed diabetes"
"128","A1C","very high blood sugar"
"129","A1C","elevated hemoglobin a1c reading"
"130","BMI","morbid obesity"
"131","BMI","severe overweight"
"132","BMI","excessive body fat"
"133","BMI","extreme weight gain"
"134","BMI","high body mass index"
"135","BMI","pathological fat accumulation"
"136","BMI","obesity class three"
"137","BMI","pathological overweight"
"138","BMI","significant weight excess"
"139","BMI","elevated body mass"
"140","BMI","severe adiposity"
"141","BMI","excessive body fatness"
"142","BMI","obese category"
"143","BMI","extremely overweight"
"144","BMI","bmi greater than thirty"
"145","BMI","severe overweight status"
"146","BMI","significant fat accumulation"
"147","BMI","pathological obesity"
"148","BMI","morbidly obese"
"149","BMI","extreme weight for height"
"150","BMI","severely elevated bmi"
"151","BMI","obesity severe"
"152","BMI","high body fat percentage"
"153","BMI","very high bmi measurement"
"154","BMI","obesity class 3"
"155","BMI","extreme obesity"
"156","BMI","high weight for stature"
"157","BMI","significant bmi increase"
"158","BMI","extreme overweight condition"
"159","BMI","body mass index very high"
"160","BMI","pathologically obese"
"161","BMI","very high bmi"
"162","BMI","extreme body fatness"
"163","BMI","severely obese"
"164","BMI","extreme ponderal index"
"165","BMI","very elevated body mass"
"166","BMI","obesity of extreme degree"
"167","BMI","very high body mass"
"168","BMI","obesity morbid"
"169","BMI","high bmi value"
"170","BMI","extreme body weight"
"171","BMI","severely obese patient"
"172","BMI","bmi over 35"
"173","BMI","extreme weight condition"
"174","BMI","obese class four"
"175","BMI","excessively heavy"
"176","BMI","very high body weight for height"
"177","BMI","extremely high bmi"
"178","BMI","morbidly obese condition"
"179","BMI","excessive body weight"
"180","BMI","obesity category iii"
"181","BMI","severe overweight issues"
"182","BMI","very high body mass measurement"
"183","BMI","obese with complications"
"184","BMI","extremely high body mass index"
"185","BMI","severe fat accumulation"
"186","BMI","obesity extreme"
"187","BMI","super obese"
"188","BMI","very high bmi for age"
"189","BMI","body mass index severely elevated"
"190","BMI","extreme overweight status"
"191","BMI","morbid obesity diagnosis"
"192","BMI","severely obese bmi"
"193","BMI","extremely high body weight"
"194","BMI","obesity with severe comorbidities"
"195","BMI","morbidly obese status"
"196","BMI","extreme body mass index"
"197","BMI","severe overweight classification"
"198","BP_SYSTOLIC","high systolic pressure"
"199","BP_SYSTOLIC","elevated upper blood pressure reading"
"200","BP_SYSTOLIC","essential hypertension"
"201","BP_SYSTOLIC","sustained high pressure"
"202","BP_SYSTOLIC","arterial stiffness"
"203","BP_SYSTOLIC","hypertensive emergency systolic"
"204","BP_SYSTOLIC","systolic hypertension"
"205","BP_SYSTOLIC","high top number blood pressure"
"206","BP_SYSTOLIC","elevated peak blood pressure"
"207","BP_SYSTOLIC","sustained sbp"
"208","BP_SYSTOLIC","primary hypertension"
"209","BP_SYSTOLIC","consistently high systolic"
"210","BP_SYSTOLIC","critical systolic pressure"
"211","BP_SYSTOLIC","uncontrolled high upper blood pressure"
"212","BP_SYSTOLIC","very high sbp"
"213","BP_SYSTOLIC","systolic blood pressure elevation"
"214","BP_SYSTOLIC","high systolic reading"
"215","BP_SYSTOLIC","uncontrolled high systolic pressure"
"216","BP_SYSTOLIC","markedly high systolic pressure"
"217","BP_SYSTOLIC","hypertensive systolic"
"218","BP_SYSTOLIC","persistently high upper pressure"
"219","BP_SYSTOLIC","systolic reading high"
"220","BP_SYSTOLIC","high upper number of blood pressure"
"221","BP_SYSTOLIC","uncontrolled essential hypertension sbp"
"222","BP_SYSTOLIC","systolic blood pressure crisis"
"223","BP_SYSTOLIC","very high systolic pressure reading"
"224","BP_SYSTOLIC","uncontrolled sbp"
"225","BP_SYSTOLIC","hypertensive systolic episode"
"226","BP_SYSTOLIC","high systolic reading uncontrolled"
"227","BP_SYSTOLIC","elevated upper number blood pressure"
"228","BP_SYSTOLIC","critically high systolic"
"229","BP_SYSTOLIC","hypertensive urgency systolic"
"230","BP_SYSTOLIC","severe elevation upper blood pressure"
"231","BP_SYSTOLIC","dangerous systolic pressure"
"232","BP_SYSTOLIC","high upper blood pressure reading"
"233","BP_SYSTOLIC","uncontrolled hypertension systolic"
"234","BP_SYSTOLIC","systolic pressure very high"
"235","BP_SYSTOLIC","uncontrolled upper blood pressure"
"236","BP_SYSTOLIC","hypertensive crisis systolic phase"
"237","BP_SYSTOLIC","very high systolic blood pressure"
"238","BP_SYSTOLIC","upper pressure uncontrolled"
"239","BP_SYSTOLIC","hypertensive emergency sbp"
"240","BP_SYSTOLIC","systolic blood pressure dangerously high"
"241","BP_SYSTOLIC","upper blood pressure uncontrolled"
"242","BP_SYSTOLIC","severe systolic hypertension"
"243","BP_SYSTOLIC","uncontrolled very high systolic"
"244","BP_SYSTOLIC","hypertensive crisis upper pressure"
"245","BP_SYSTOLIC","severe high systolic blood pressure"
"246","BP_SYSTOLIC","dangerously high systolic pressure"
"247","BP_SYSTOLIC","uncontrolled systolic readings"
"248","BP_SYSTOLIC","severe upper blood pressure"
"249","BP_SYSTOLIC","very severe systolic hypertension"
"250","BP_SYSTOLIC","uncontrolled upper blood pressure in crisis"
"251","BP_SYSTOLIC","systolic blood pressure dangerously elevated"
"252","BP_SYSTOLIC","uncontrolled upper pressure reading"
"253","BP_SYSTOLIC","hypertensive emergency systolic type"
"254","BP_SYSTOLIC","systolic pressure excessively high"
"255","BP_SYSTOLIC","uncontrolled upper blood pressure readings"
"256","BP_SYSTOLIC","critical high systolic"
"257","BP_SYSTOLIC","blood pressure systolic uncontrolled severe"
"258","BP_SYSTOLIC","critically high upper pressure"
"259","BP_SYSTOLIC","malignant hypertension systolic"
"260","BP_SYSTOLIC","systolic blood pressure critically high"
"261","BP_SYSTOLIC","uncontrolled very high upper pressure"
"262","BP_SYSTOLIC","hypertensive emergency systolic crisis"
"263","BP_DIASTOLIC","high diastolic pressure"
"264","BP_DIASTOLIC","elevated lower blood pressure reading"
"265","BP_DIASTOLIC","severe hypertension"
"266","BP_DIASTOLIC","consistent high pressure"
"267","BP_DIASTOLIC","persistent vascular tension"
"268","BP_DIASTOLIC","hypertensive crisis diastolic"
"269","BP_DIASTOLIC","diastolic hypertension"
"270","BP_DIASTOLIC","elevated bottom number blood pressure"
"271","BP_DIASTOLIC","high resting blood pressure"
"272","BP_DIASTOLIC","continuous high diastolic"
"273","BP_DIASTOLIC","severe dbp"
"274","BP_DIASTOLIC","consistently high diastolic"
"275","BP_DIASTOLIC","critical diastolic pressure"
"276","BP_DIASTOLIC","uncontrolled high lower blood pressure"
"277","BP_DIASTOLIC","very high dbp"
"278","BP_DIASTOLIC","diastolic blood pressure elevation"
"279","BP_DIASTOLIC","high diastolic reading"
"280","BP_DIASTOLIC","uncontrolled high diastolic pressure"
"281","BP_DIASTOLIC","markedly high diastolic pressure"
"282","BP_DIASTOLIC","hypertensive diastolic"
"283","BP_DIASTOLIC","persistently high lower pressure"
"284","BP_DIASTOLIC","diastolic reading high"
"285","BP_DIASTOLIC","high lower number of blood pressure"
"286","BP_DIASTOLIC","uncontrolled essential hypertension dbp"
"287","BP_DIASTOLIC","diastolic blood pressure crisis"
"288","BP_DIASTOLIC","very high diastolic pressure reading"
"289","BP_DIASTOLIC","uncontrolled dbp"
"290","BP_DIASTOLIC","hypertensive diastolic episode"
