"","Variable_Name","Search_Term"
"1","CREAT_C","Renal failure"
"2","CREAT_C","renal insufficiency"
"3","CREAT_C","acute kidney injury"
"4","CREAT_C","chronic renal failure"
"5","BMI","Obesity"
"6","BMI","morbid obesity"
"7","BMI","Grade I obesity"
"8","BMI","Grade II obesity"
"9","BMI","Grade III obesity"
"10","BP_SYSTOLIC","Hypertension"
"11","BP_DIASTOLIC","Hypertension"
"12","A1C","Diabetes"
"13","A1C","impaired glycemic control"
"14","CHOL","Hypercholesterolemia"
"15","TRIG","Hypertriglyceridemia"
"16","CRP","Sepsis"
"17","CRP","infection"
"18","CRP","autoimmune inflammatory syndrome"
"19","HCST","Hyperhomocysteinemia"
"20","HCST","vitamin deficiency"
